regiao,uf,data,casos_novos,casos,obitos_novos,obitos,pop
norte,RO,2020-04-28,20,413,1,11,1777225
norte,AC,2020-04-28,32,311,2,16,881935
norte,AM,2020-04-28,409,4337,31,351,4144597
norte,RR,2020-04-28,18,425,2,6,605761
norte,PA,2020-04-28,134,2262,15,129,8602865
norte,AP,2020-04-28,76,918,2,28,845731
norte,TO,2020-04-28,12,79,0,2,1572866
nordeste,MA,2020-04-28,118,2528,20,145,7075181
nordeste,PI,2020-04-28,44,408,1,21,3273227
nordeste,CE,2020-04-28,192,6918,13,403,9132078
nordeste,RN,2020-04-28,25,857,3,48,3506853
nordeste,PB,2020-04-28,90,633,3,53,4018127
nordeste,PE,2020-04-28,366,5724,58,508,9557071
nordeste,AL,2020-04-28,134,777,2,36,3337357
nordeste,SE,2020-04-28,83,280,1,11,2298696
nordeste,BA,2020-04-28,186,2540,10,86,14873064
sudeste,MG,2020-04-28,63,1649,9,71,21168791
sudeste,ES,2020-04-28,78,1874,7,64,4018650
sudeste,RJ,2020-04-28,560,8504,61,738,17264943
sudeste,SP,2020-04-28,2345,24041,224,2049,45919049
sul,PR,2020-04-28,85,1271,2,77,11433957
sul,SC,2020-04-28,139,1476,1,44,7164788
sul,RS,2020-04-28,58,1286,3,45,11377239
centro-oeste,MS,2020-04-28,2,240,0,9,2778986
centro-oeste,MT,2020-04-28,4,261,1,11,3484466
centro-oeste,GO,2020-04-28,45,661,1,27,7018354
centro-oeste,DF,2020-04-28,67,1213,1,28,3015268
norte,RO,2020-04-27,29,393,0,10,1777225
norte,AC,2020-04-27,0,279,3,14,881935
norte,AM,2020-04-27,95,3928,16,320,4144597
norte,RR,2020-04-27,6,407,0,4,605761
norte,PA,2020-04-27,261,2128,14,114,8602865
norte,AP,2020-04-27,44,842,5,26,845731
norte,TO,2020-04-27,9,67,0,2,1572866
nordeste,MA,2020-04-27,187,2410,13,125,7075181
nordeste,PI,2020-04-27,33,364,2,20,3273227
nordeste,CE,2020-04-27,893,6726,63,390,9132078
nordeste,RN,2020-04-27,7,832,1,45,3506853
nordeste,PB,2020-04-27,44,543,1,50,4018127
nordeste,PE,2020-04-27,460,5358,35,450,9557071
nordeste,AL,2020-04-27,89,643,2,34,3337357
nordeste,SE,2020-04-27,38,197,1,10,2298696
nordeste,BA,2020-04-27,145,2354,3,76,14873064
sudeste,MG,2020-04-27,38,1586,1,62,21168791
sudeste,ES,2020-04-27,93,1796,6,57,4018650
sudeste,RJ,2020-04-27,833,7944,32,677,17264943
sudeste,SP,2020-04-27,981,21696,125,1825,45919049
sul,PR,2020-04-27,30,1186,3,75,11433957
sul,SC,2020-04-27,102,1337,1,43,7164788
sul,RS,2020-04-27,62,1228,7,42,11377239
centro-oeste,MS,2020-04-27,4,238,2,9,2778986
centro-oeste,MT,2020-04-27,7,257,1,10,3484466
centro-oeste,GO,2020-04-27,43,616,1,26,7018354
centro-oeste,DF,2020-04-27,80,1146,0,27,3015268
