date,location,continent,population,new_cases,new_deaths,total_cases,total_deaths,cases_prop,deaths_prop,cases_100,deaths_5,cases_prop_1,deaths_prop_1
2019-12-31,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-01,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-02,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-03,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-04,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-05,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-06,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-07,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-08,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-09,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-10,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-11,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-12,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-13,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-14,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-15,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-16,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-17,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-18,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-19,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-20,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-21,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-22,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-23,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-24,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-25,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-26,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-27,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-28,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-29,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-30,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-01-31,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-02-01,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-02-02,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
2020-02-03,Afghanistan,Asia,38928341,0,0,0,0,0,0,NA,NA,NA,NA
